salary data.freq percent.freq
70000 1 4
93600 1 4
95000 1 4
105000 1 4
110000 1 4
112895 1 4
113834 1 4
115331 1 4
117312 1 4
117817 1 4
120303 1 4
130000 1 4
130273 1 4
133821 1 4
137092 1 4
139590 1 4
140533 1 4
142542 1 4
144269 1 4
145885 1 4
150000 2 8
166891 1 4
173987 1 4
177500 1 4
